#{"t_start": 1669409387.4536817, "env_id": null}
r,l,t
9.551453,48,2383.966878
32.36402,222,2389.057289
17.255715,78,2391.097286
10.390259,50,2392.593885
47.636495,331,2399.947024
120.930204,568,2412.67246
209.241877,1001,2434.34485
8.518724,56,2435.930161
8.606181,53,2437.448421
160.454774,1001,2459.096304
46.645562,365,2467.386637
46.275218,346,2475.188565
34.89027,248,2480.895424
95.007248,542,2492.7776
62.25696,341,2500.408688
10.131587,57,2502.071405
12.851321,71,2503.881595
50.890605,395,2512.731687
73.030163,677,2527.546253
162.393927,684,2542.580064
117.872379,601,2555.856418
71.944806,596,2568.968539
28.220528,195,2573.619742
19.028696,168,2577.579834
24.951316,213,2582.575255
40.825427,278,2588.761438
48.192515,259,2594.567661
11.043329,57,2596.15337
8.853533,51,2597.637437
15.10121,93,2599.989378
37.362772,263,2606.095968
102.238858,800,2623.470607
255.702172,1001,2645.215324
71.769438,470,2655.493023
41.459186,240,2660.95407
190.764389,1001,2683.622393
30.759069,235,2688.893951
178.68612,1001,2710.824349
21.882305,166,2714.81742
48.70508,367,2722.953883
47.154201,324,2730.23619
34.150665,224,2735.360694
173.567692,1001,2756.881521
21.336689,131,2760.092103
136.724969,1001,2781.957214
181.054694,1001,2803.71302
250.617346,1001,2825.58708
57.496745,450,2835.488656
77.685621,506,2846.605081
145.807561,896,2866.03845
214.206337,961,2887.173436
32.632801,204,2891.984707
127.154189,607,2905.455577
119.635503,837,2923.941625
23.594887,167,2928.401247
58.737079,374,2937.654937
77.50088,607,2951.791328
100.596023,570,2964.818293
28.411763,176,2969.1794
228.044507,1001,2991.825952
243.403704,1001,3014.259381
71.907148,404,3023.491296
111.482207,807,3041.907114
34.405256,295,3048.707363
174.073211,980,3070.360795
185.814783,1001,3092.288504
53.945939,391,3100.916343
106.431321,735,3117.001836
19.736415,112,3119.743734
257.25513,1001,3141.605884
39.802492,332,3148.923469
227.166715,1001,3170.840241
153.840009,802,3188.367812
13.516529,70,3190.300398
97.590433,589,3203.134541
94.534128,569,3215.675081
156.317427,770,3232.641077
12.249711,69,3234.504898
119.377309,807,3252.123902
201.756389,1001,3273.938748
20.88351,167,3277.878388
238.857167,1001,3299.565584
228.629599,1001,3321.407814
89.703578,380,3329.943946
95.778933,396,3338.906473
217.040857,1001,3363.159227
97.626595,508,3374.746141
61.790175,312,3382.15788
197.757211,1001,3404.407115
73.015422,416,3413.745266
33.862302,170,3417.89901
144.643137,653,3432.476387
106.639695,595,3445.643876
14.233558,72,3447.610514
205.179149,1001,3469.477908
15.427416,73,3471.542016
20.945477,140,3474.856561
85.382491,440,3484.624142
178.965856,1001,3506.406427
146.481521,1001,3528.158078
145.669202,759,3544.766954
173.255127,851,3563.450131
188.649388,1001,3585.717954
187.697023,1001,3608.002772
197.613899,1001,3630.355716
154.568428,937,3651.006265
81.212884,461,3661.40467
272.518198,1001,3683.458252
146.055822,764,3700.206837
172.426972,937,3720.691543
217.653596,1001,3742.607519
82.777575,500,3753.772223
200.882836,849,3772.336081
39.748206,382,3780.907407
195.393121,862,3799.671605
68.627419,335,3807.394437
81.211841,427,3817.136998
106.827728,528,3828.915265
75.058878,453,3839.172388
181.161307,881,3858.801171
42.397648,254,3864.674172
67.176143,487,3875.543685
21.033525,116,3878.396808
125.12626,525,3890.221279
222.966192,1001,3912.296639
168.679018,963,3933.615378
13.370373,78,3935.712328
250.8171,1001,3957.569196
194.209978,931,3978.258722
207.192259,1001,4000.267525
287.816864,1001,4023.854066
178.626867,1001,4046.0882
98.05076,458,4056.356227
61.915049,399,4065.199954
53.336902,332,4072.702671
91.53625,524,4084.495025
235.951976,1001,4106.880435
93.901301,446,4116.751571
26.031299,162,4120.676409
36.554471,253,4126.617652
200.662292,1001,4148.362599
53.493724,290,4155.133324
161.929622,1001,4176.946653
73.980676,464,4187.381569
28.257933,207,4192.183398
23.198947,129,4195.417299
17.762517,115,4198.281973
221.983527,1001,4220.980249
14.857869,100,4223.569047
240.708063,1001,4245.727778
118.566741,550,4258.032978
41.245683,284,4264.595786
92.720615,592,4277.734258
58.156109,457,4289.301131
65.641118,429,4299.379135
228.769525,1001,4325.40805
113.868205,876,4348.523081
219.310427,1001,4370.902667
106.914539,520,4382.810582
190.821406,1001,4405.342993
111.681473,581,4418.803676
213.416518,1001,4441.556088
21.0996,124,4444.615184
29.0934,165,4448.625597
26.584383,155,4452.529788
82.906656,421,4462.35767
25.096049,143,4465.848074
81.57049,411,4475.230602
239.835482,1001,4497.316675
153.06953,1001,4519.451461
69.441129,382,4528.111619
272.780862,1001,4549.949467
259.287459,1001,4571.775995
175.042887,874,4591.136279
42.850591,230,4596.46906
90.263395,347,4604.135979
223.771044,1001,4626.02606
72.671367,572,4638.780633
247.658084,1001,4660.98784
270.888186,1001,4683.129059
256.687922,1001,4706.647818
111.151017,608,4720.158322
199.380856,1001,4742.524535
197.860014,930,4763.002769
135.287109,574,4775.845013
25.136054,111,4778.586002
219.144451,903,4798.258005
138.742307,751,4814.949416
261.22355,1001,4837.164052
229.493117,1001,4858.960321
32.220009,178,4863.259705
23.60998,151,4866.948071
262.455698,1001,4889.071262
140.168456,583,4902.004941
259.031641,1001,4924.086137
201.277704,1001,4946.287873
157.030254,934,4966.84646
290.341032,1001,4988.671261
76.973805,490,4999.705422
208.514128,859,5018.54494
247.667659,1001,5040.320975
278.055042,1001,5062.235537
192.009731,779,5079.357914
254.11732,1001,5101.310198
166.404115,1001,5123.481546
266.549178,1001,5145.526884
154.445064,760,5162.313359
287.494932,1001,5184.218954
201.775504,1001,5206.244115
279.296412,1001,5228.243956
175.02836,1001,5249.989173
273.531664,1001,5272.190118
219.446758,1001,5294.143015
211.277773,1001,5316.158773
295.238494,1001,5337.929556
272.439973,1001,5359.79808
250.133221,1001,5382.913445
264.158831,1001,5405.03402
252.437429,1001,5427.069343
269.546297,1001,5449.085781
270.001086,1001,5471.087992
225.662772,1001,5492.972199
252.097329,1001,5514.642319
227.857541,1001,5536.461862
274.360267,1001,5558.374032
299.515855,1001,5580.382178
246.776346,1001,5602.296238
186.067822,810,5620.057994
257.640226,1001,5642.089122
255.45896,1001,5664.455512
279.539977,1001,5686.570898
248.784303,1001,5708.505023
225.959951,1001,5730.817834
261.614907,1001,5753.124213
282.982767,1001,5775.194991
117.081783,597,5788.261516
148.995958,673,5803.247262
197.36994,876,5822.40682
103.985451,450,5832.394175
255.412018,1001,5854.121549
81.152394,490,5865.036626
186.284311,691,5880.217633
247.588343,1001,5904.828109
241.031999,1001,5929.183625
37.881048,229,5934.918724
197.6417,1001,5960.069121
243.74454,1001,5986.178414
251.13611,1001,6014.831122
238.632558,1001,6043.520002
130.71491,524,6059.271221
212.42246,1001,6084.333291
227.828385,1001,6140.784204
247.088942,1001,6179.949074
168.226252,768,6199.526614
103.052086,610,6215.211606
241.057191,1001,6237.90928
265.90756,1001,6258.961162
290.713083,1001,6280.356292
265.567505,1001,6301.461115
254.045543,1001,6322.977444
24.478408,106,6325.696942
87.462864,346,6333.371136
253.764807,1001,6354.908479
