#{"t_start": 1669293086.6805642, "env_id": null}
r,l,t
30.725872,1001,6586.896538
31.496335,1001,6602.956219
29.379828,1001,6619.965746
28.269615,1001,6643.447679
27.152751,1001,6667.139963
29.399836,1001,6689.197471
30.007866,1001,6710.760583
27.769197,1001,6732.225012
28.206964,1001,6751.005804
28.654035,1001,6775.124173
22.542549,1001,6795.889945
30.069167,1001,6812.950835
29.187412,1001,6832.271135
27.133751,1001,6856.392562
30.555543,1001,6877.508747
26.038904,1001,6894.992418
25.819874,1001,6916.310712
31.21579,1001,6937.203954
29.282226,1001,6958.995692
32.78832,1001,6983.274511
30.248824,1001,7007.130366
28.090454,1001,7028.8657
31.05036,1001,7049.151742
30.802701,1001,7070.579492
29.886943,1001,7093.296232
28.379137,1001,7113.761911
29.864087,1001,7133.29925
30.147278,1001,7153.642942
31.169296,1001,7172.063068
30.320943,1001,7190.722887
30.289124,1001,7211.958227
28.525893,1001,7230.74386
31.260152,1001,7248.956167
29.759649,1001,7269.872829
28.882227,1001,7291.114551
29.23779,1001,7311.385664
29.638615,1001,7330.547482
29.371189,1001,7347.747787
31.236262,1001,7368.756204
31.713326,1001,7388.514764
30.91815,1001,7406.016837
26.633883,1001,7428.098141
31.831718,1001,7448.961726
27.707505,1001,7468.027765
30.894688,1001,7487.023132
30.296095,1001,7505.261579
29.747531,1001,7527.145359
25.694529,1001,7547.171037
29.542451,1001,7566.471565
28.638328,1001,7584.239216
28.546291,1001,7607.704207
27.739449,1001,7626.546278
27.813199,1001,7647.490585
12.327697,438,7656.074512
19.051533,766,7672.88345
31.12402,1001,7697.424023
29.513299,1001,7716.915226
29.027809,1001,7733.714994
30.323401,1001,7752.247252
28.333936,1001,7772.270074
28.143304,1001,7791.628881
7.249484,450,7800.987577
31.563383,1001,7819.594237
31.176063,1001,7840.845023
28.239607,1001,7862.271637
31.403233,1001,7881.215673
30.327198,1001,7899.71974
29.812986,1001,7918.017947
29.030541,1001,7937.366028
28.491936,1001,7961.256032
18.888572,696,7977.605946
29.739923,1001,8000.270627
29.086328,1001,8026.704257
28.988604,1001,8049.905892
30.649698,1001,8073.802474
26.836727,1001,8097.175745
31.015984,1001,8121.542042
30.284835,1001,8145.234499
26.306783,1001,8168.288153
29.257107,1001,8191.916522
30.938856,1001,8219.505691
29.179296,1001,8242.891722
30.063247,1001,8266.048846
30.599619,1001,8290.397541
31.987639,1001,8318.261695
29.805533,1001,8342.557442
31.124136,1001,8369.005027
28.345763,1001,8394.663643
30.561234,1001,8420.726325
30.153685,1001,8442.451522
31.80366,1001,8465.411709
30.204487,1001,8487.739292
29.092742,1001,8509.655387
28.180987,1001,8536.958321
30.524749,1001,8561.350795
28.344426,1001,8585.312603
28.527654,1001,8610.672645
